---------------------------------------------------------------------------
| Date & Time            | Username/Email        | Source IP       | Status |
---------------------------------------------------------------------------
| 2023-11-09 09:15:32    | jsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-09 09:21:45    | amiller@ivy.uni.com   | 203.45.67.89    | Success |
| 2023-11-09 09:32:10    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-09 09:45:55    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-09 10:05:23    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-09 10:12:42    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-09 10:30:15    | bthompson@ivy.uni.com | 203.45.67.89    | Success |
| 2023-11-10 11:05:03    | mjackson@ivy.uni.com  | 132.19.18.76    | Success |
| 2023-11-10 11:20:12    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-10 11:45:38    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
| 2023-11-10 12:05:59    | jsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-10 12:15:24    | amiller@ivy.uni.com   | 203.45.67.89    | Failed  |
| 2023-11-10 12:35:11    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-10 12:45:48    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-10 13:05:17    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-10 13:15:29    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-10 13:32:55    | sysadmin@ivy.uni.com  | 192.168.1.1     | Success |
| 2023-11-10 14:05:48    | mjackson@ivy.uni.com  | 132.19.18.76    | Failed  |
| 2023-11-10 14:15:59    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-10 14:32:15    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
| 2023-11-11 09:15:32    | rsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-11 09:21:45    | amiller@ivy.uni.com   | 203.45.67.89    | Success |
| 2023-11-11 09:32:10    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-11 09:45:55    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-09 09:15:32    | jsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-09 09:21:45    | amiller@ivy.uni.com   | 203.45.67.89    | Success |
| 2023-11-09 09:32:10    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-09 09:45:55    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-09 10:05:23    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-09 10:12:42    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-09 10:30:15    | bthompson@ivy.uni.com | 203.45.67.89    | Success |
| 2023-11-10 11:05:03    | mjackson@ivy.uni.com  | 132.19.18.76    | Success |
| 2023-11-10 11:20:12    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-10 11:45:38    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
| 2023-11-10 12:05:59    | jsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-10 12:15:24    | amiller@ivy.uni.com   | 203.45.67.89    | Failed  |
| 2023-11-10 12:35:11    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-10 12:45:48    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-10 13:05:17    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-10 13:15:29    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-10 13:32:55    | sysadmin@ivy.uni.com  | 192.168.1.1     | Success |
| 2023-11-10 14:05:48    | mjackson@ivy.uni.com  | 132.19.18.76    | Failed  |
| 2023-11-10 14:15:59    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-10 14:32:15    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
| 2023-11-11 09:15:32    | rsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-11 09:21:45    | amiller@ivy.uni.com   | 203.45.67.89    | Success |
| 2023-11-11 09:32:10    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-11 09:45:55    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-11 10:05:23    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-11 10:12:42    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-11 10:30:15    | bthompson@ivy.uni.com | 203.45.67.89    | Success |
| 2023-11-11 11:05:03    | mjackson@ivy.uni.com  | 132.19.18.76    | Success |
| 2023-11-11 11:20:12    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-11 11:45:38    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
| 2023-11-11 12:05:59    | jsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-11 12:15:24    | amiller@ivy.uni.com   | 203.45.67.89    | Failed  |
| 2023-11-11 12:35:11    | jdoe@ivy.uni.com      | 132.19.18.76    | Success |
| 2023-11-11 12:45:48    | sarah@ivy.uni.com     | 54.32.11.87     | Success |
| 2023-11-11 13:05:17    | rjohnson@ivy.uni.com  | 122.56.78.90    | Success |
| 2023-11-11 13:15:29    | lsmith@ivy.uni.com    | 192.168.1.10    | Success |
| 2023-11-11 13:32:55    | sysadmin@ivy.uni.com  | 192.168.1.1     | Success |
| 2023-11-11 14:05:48    | mjackson@ivy.uni.com  | 132.19.18.76    | Failed  |
| 2023-11-11 14:15:59    | jclark@ivy.uni.com    | 54.32.11.87     | Success |
| 2023-11-11 14:32:15    | dwilliams@ivy.uni.com | 122.56.78.90    | Success |
---------------------------------------------------------------------------
