-----------------------------------------------------------------------------------
| Date & Time            | Error Type         | Description                       |
-----------------------------------------------------------------------------------
| 2023-11-12 09:15:32    | Login Error        | Failed login attempt for user jsmith@ivy.uni.com from IP 192.168.1.10  |
| 2023-11-12 09:17:18    | Server Error       | Critical server error - database connection lost                     |
| 2023-11-12 09:25:40    | Access Denied      | Access denied for user amiller@ivy.uni.com due to insufficient privileges |
| 2023-11-12 10:05:23    | Application Error  | Application crashed unexpectedly during user session                |
| 2023-11-12 10:12:42    | Login Error        | Failed login attempt for user lsmith@ivy.uni.com from IP 192.168.1.10  |
| 2023-11-12 10:30:15    | Server Error       | Server unresponsive, possible DDoS attack detected                   |
| 2023-11-12 11:05:03    | Access Denied      | Access denied for sysadmin@ivy.uni.com due to invalid credentials     |
| 2023-11-12 11:20:12    | Database Error     | Database query failed to execute, user data may be compromised       |
| 2023-11-12 11:45:38    | Application Error  | Application failed to load, resulting in a blank screen              |
| 2023-11-12 12:05:59    | Server Error       | Server error due to high traffic, affecting user experience           |
| 2023-11-12 12:15:24    | Application Error  | Application crashed unexpectedly during a critical process           |
| 2023-11-12 12:35:11    | Login Error        | Failed login attempt for user sarah@ivy.uni.com from IP 54.32.11.87  |
| 2023-11-12 12:45:48    | Database Error     | Database table corruption detected, data recovery in progress       |
| 2023-11-12 13:05:17    | Access Denied      | Access denied for jdoe@ivy.uni.com due to expired account            |
| 2023-11-12 13:15:29    | Application Error  | Application froze, user had to forcibly close the application        |
| 2023-11-12 13:32:55    | Server Error       | Server experienced high latency, affecting user interactions         |
| 2023-11-12 14:05:48    | Database Error     | Database transaction failed, resulting in incomplete user records   |
| 2023-11-12 14:15:59    | Login Error        | Failed login attempt for sysadmin@ivy.uni.com from IP 192.168.1.1  |
| 2023-11-12 14:32:15    | Application Error  | Critical application bug discovered, causing data loss              |
-----------------------------------------------------------------------------------
